Title,Year,Release Date,Overview,Keywords
The Witches,1966,1966-11-21,"Following a nervous breakdown, Gwen takes up the job of head teacher in the small village of Haddaby. There she can benefit from the tranquillity and peace, enabling her to recover fully. But under the facade of idyllic country life she slowly unearths the frightening reality of village life in which the inhabitants are followers of a menacing satanic cult with the power to inflict indiscriminate evil and death if crossed.","witch, voodoo, supernatural, human sacrifice, school teacher, occult horror, hagsploitation"
The Blood on Satan's Claw,1971,1971-01-28,The accidental unearthing of Satan’s earthly remains causes the children of a 17th-century English village to slowly convert into a coven of devil worshipers.,"rape, sacrifice, england, village, satanism, murder, devil, witchcraft, occult, mutilation, beast, folk horror"
Cloverfield,2008,2008-01-15,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.","quarantine, monster, chaos, skyscraper, supernatural, giant monster, alien, disaster, survival horror, kaiju, military, found footage, aftercreditsstinger"
The Lodge,2019,2020-01-16,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.","suicide, winter, massachusetts, thanksgiving, stepmother, murder, snow, cabin, divorce, dead dog, ice skating, cult leader, religious cult, christmas"
The Other Lamb,2019,2020-04-03,"For her entire life, the cult she was born into has been all that teenage Selah has known. Along with a band of similarly cloistered young women she lives seemingly unstuck in time, cut off from modern society in a remote forest commune presided over by a man called Shepherd, a controlling, messiah-like figure with a frightening dark side. But when her insular world is rocked by a series of nightmarish visions and disturbing revelations, Selah begins to question everything about her existence—including her allegiance to the increasingly dangerous Shepherd.","polygamy, forest, birth, death, religious cult"
The Funhouse,1981,1981-03-13,"Rebellious teen Amy defies her parents by going to a trashy carnival that has pulled into town. In tow are her boyfriend, Buzz, and their friends Liz  and Richie. Thinking it would be fun to spend the night in the campy ""Funhouse"" horror ride, the teens witness a murder by a deformed worker wearing a mask. Locked in, Amy and her friends must evade the murderous carnival workers and escape before it leaves town the next day.","mask, carnival, slasher, funhouse, video nasty, deformed face"
Overlord,2018,2018-11-01,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.","france, nazi, village, world war ii, normandy, france, d-day, laboratory, explosion, behind enemy lines, paratrooper, 1940s, scientific experiment, black soldier"
Cube,1997,1997-12-10,"A group of people wakes up inside a huge metal cube that contains thousands of rooms, not remembering how they arrived. Policeman Quentin volunteers to lead the group based on his experiences, but one of the group members opposes him. Government worker Worth remembers the government's association with this secret project and Mathematics student Leaven helps him discover the digital codes of the cubes, and a thief with his expertise helps them escape, and everyone realizes that using their different abilities is the only way to survive.","escape, entrapment, riddle, autism, mathematics, claustrophobia, maze, prime number, psychology, trapdoor, gore, trap, murder, labyrinth, survival horror, numbers, cube, mechanical, industrial"
Excision,2012,2012-09-12,"Alienated teen Pauline struggles with the pressures of fitting into high school, pleasing her mother and a burning desire to lose her virginity. With a grotesque curiosity for the darker side of life, Pauline is considered a social outcast by everyone around her. Enticed by flesh, she retreats into her own fantasies and hopes to become a great surgeon - that is, if she doesn't go insane first.","first time, surgeon, loss of virginity, teenage girl, domineering mother, awkwardness, social outcast, lung transplant "
Versus,2000,2000-10-23,"A group of ruthless gangsters, an unknown woman and an escaped convict have met, in The Forest of Resurrection, the 444th portal to the other side. Their troubles start when those once killed and buried in the forest come back from the dead.","japan, samurai, yakuza, forest, escaped convict, zombie, back from the dead, chanbara, abduction"
Dark Skies,2013,2013-02-21,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.","supernatural, alien, fear"
The Last Exorcism,2010,2010-08-27,"After years of performing “exorcisms” and taking believers’ money, Reverend Marcus travels to rural Louisiana with a film crew so he can dispel what he believes is the myth of demonic possession. The dynamic reverend is certain that this will be another routine “exorcism” on a disturbed religious fanatic but instead comes upon the blood-soaked farm of the Sweetzer family and a true evil he would have never thought imaginable.","farm, exorcism, louisiana, fraud, mockumentary, evil spirit, human sacrifice, evangelical, preacher, satanic ritual, found footage, satanic cult, documentary crew"
The Toxic Avenger,1984,1984-05-15,"A gang of thugs devise a cruel hoax that goes horribly wrong as Melvin, a nerdy emaciated janitor at the local health club, is cast through a third story window into a vat of hazardous toxic waste.","pollution, corruption, new jersey, sadism, superhero, anti hero, mayor, bullying, grindhouse, revenge, murder, toxic, person on fire, workout, health club, rabid anger, disfigured face, superhero spoof, strong man, car run over, shock humor, public humiliation, vigilantism, absurdist, blind woman, toxic waste, killer as protagonist, absurdist humor"
Host,2020,2020-12-04,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.","quarantine, computer, isolation, evil spirit, internet, psychic, internet chat, macabre, found footage, séance, lockdown, covid-19, cautionary, zoom call, intense, frightened"
Sinister,2012,2012-03-29,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.","drowning, pennsylvania, usa, writing, child murder, snuff, tape, home movie footage, murder, massacre, power outage, held captive, hanging, death, car fire, attic, occult, super 8mm footage, moving in, crime novelist, book writing, supernatural horror"
Drag Me to Hell,2009,2009-05-27,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.","work, gypsy, gore, curse, psychologist, psychic, evil, loan officer, obituary, engagement ring"
Rabid,1977,1977-04-08,"After undergoing radical surgery for injuries from a motorcycle accident, a young woman develops a strange phallic growth on her body and a thirst for human blood—the only nourishment that will now sustain her.","vampire, martial law, montreal, canada, motorcycle crash, murder, motorcycle, epidemic, surgery, rabies, accident, vampiress (female vampire)"
Silver Bullet,1985,1985-10-10,"The small city of Tarker's Mill is startled by a series of sadistic murders. The population fears that this is the work of a maniac. During a search a mysterious, hairy creature is observed. This strange appearance is noticed once a month. People lock themselves up at night, but there's one boy who's still outside, he's preparing the barbecue.","based on novel or book, maine, werewolf"
Final Destination,2000,2000-03-17,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.","airport, omen, premonition, airplane accident, corpse, death, near-death experience, cheating death"
Friday the 13th,1980,1980-05-09,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,"lake, new jersey, drowning, summer camp, sadism, villain, woods, revenge, murder, stalking, serial killer, cabin, camp, slasher, summer, series of murders, franchise, 1950s, teenager"
The Faculty,1998,1998-12-25,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that confirms their worst suspicions: their teachers really are from another planet!","drug dealer, high school, homophobia, paranoia, alien, teacher, alien invasion, drugs, alien infection, social status, parasite, creature feature, school nurse, body snatchers, alien parasites, parasites, body horror, teenager"
The Blackcoat's Daughter,2015,2017-03-31,"Two young students at a prestigious prep school for girls are assailed by an evil, invisible power when they are stranded at the school over winter break.","winter, boarding school, exorcism, possession, murder, loneliness, decapitation, priest, new york state, boiler room, furnace, phone call, good samaritan, demonic, girls' school"
Critters,1986,1986-04-11,"Carnivorous aliens arrive unannounced at a Kansas family farm; two intergalactic bounty hunters soon follow, determined to blow them off the planet.","spacecraft, small town, sheriff, bounty hunter, sibling relationship, cat, barn, toilet, kansas, usa, alien, creature, explosion, alien invasion, family, exploding house, brother sister , alien fugitive, alien creature"
Basket Case,1982,1982-04-02,A young man carrying a big basket that contains his deformed Siamese-twin brother seeks vengeance on the doctors who separated them against their will.,"basket, conjoined twins, mood ring eyes"
The Blob,1958,1958-09-10,"A drive-in favorite, this sci-fi classic follows teenagers Steve and his best girl, Jane, as they try to protect their hometown from a gelatinous alien life form that engulfs everything it touches. The first to discover the substance and live to tell about it, Steve and Jane witness the blob destroying an elderly man, then it growing to a terrifying size. But no one else has seen the goo, and policeman Dave refuses to believe the kids without proof.","small town, monster, film in film, blob, meteorite, town in panic, missing person, good cop bad cop, space monster, fire extinguisher, teenage hero, kid brother, teenage heroine, unkillable monster, people eater, night of horror, high school kids"
Insidious,2010,2011-03-31,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.","medium, evil spirit, house warming, aftercreditsstinger, insidious, supernatural power"
Hostel,2005,2006-01-06,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.","sadism, amsterdam, netherlands, bathroom, brothel, paranoia, human trafficking, bratislava, slovakia, machete, gore, dominatrix, backpacker, iceland, europe, deception, blood bath, mercilessness, slasher, torture, prostitution, strangulation, business card, doberman, eye gouging, hostel, mugging, torture porn, elite club, slovakia, american horror"
Gerald's Game,2017,2017-09-29,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.","child abuse, based on novel or book, childhood trauma, sorrow, car accident, eclipse, dog, ghost, memoirs"
Blade,1998,1998-08-21,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.","martial arts, hero, vampire, superhero, supernatural, based on comic, rivalry, vampire hunter (slayer), sword fight, revenge, tragic hero, one man army, martial arts master, scientist, super power, blade, taunting, secret headquarters, escapade, deadly, master warrior, urban gothic, good versus evil"
Pet Sematary,1989,1989-04-21,"After the Creed family's cat is accidentally killed, a friendly neighbor advises its burial in a mysterious nearby cemetery.","based on novel or book, funeral, parent child relationship, coffin, pet, villain, head injury, resurrection, woods, grief, zombie, new neighbor, pet cemetery, dead cat, death of patient, loss of pet, dead lover, ghost, grave robbing, indian burial ground, woman director, pets, supernatural horror"
Session 9,2001,2001-08-10,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,"schizophrenia, massachusetts, psychology, lunatic asylum, pot smoking, coin, tape recorder, cell phone, walkie talkie, security guard, mental illness, asbestos, multiple personality, tunnel, lobotomy, hazmat suit, job"
The Taking of Deborah Logan,2014,2014-10-21,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all.","snake, possession, serial killer, found footage"
Event Horizon,1997,1997-08-15,"In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously seven years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors.","space marine, nightmare, insanity, delusion, hallucination, space travel, cryogenics, gore, black hole, crew, flashback, evil spirit, alternate dimension, hellgate, religion, explosion, burning man, rescue team, super power, trapped in space, distress signal, 2040s, spaceship"
The Legend of Hell House,1973,1973-06-15,"A team consisting of a physicist, his wife, a young female psychic and the only survivor of the previous visit are sent to the notorious Hell House to prove/disprove survival after death. Previous visitors have either been killed or gone mad, and it is up to the team to survive a full week in isolation, and solve the mystery of the Hell House.","isolation, afterlife, medium, haunting, physicist, psychic, paranormal investigation"
Hush,2016,2016-03-12,A deaf woman is stalked by a psychotic killer in her secluded home.,"computer, isolation, deaf-mute, deaf, knife, alone, murder, mute, serial killer, stabbing, cat and mouse, trapped, bow and arrow, iphone, one location"
Ju-on: The Grudge,2002,2002-10-18,"When social worker Rika is sent to check on a traumatized old lady whose family have moved in at the site of the notorious Saeki family murder case, she unwittingly unleashes a cycle of terror that is transmitted via its victims further and further from its original source.","dying and death, japan, primal fear, panic, restart, supernatural, egomania, remake"
The Blair Witch Project,1999,1999-07-14,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.","witch, legend, camping, map, supernatural, wilderness, forest, maryland, mockumentary, paranormal, friends, survival, urban legend, fear, witchcraft, evil, found footage, videotape, lost in the woods"
Ava's Possessions,2015,2015-03-16,"Ava is recovering from demonic possession. With no memory of the past month, she must attend a Spirit Possessions Anonymous support group to figure out what happened. Ava's life was hijacked by a demon, now it's time to get it back.",
The Amityville Horror,1979,1979-07-27,"George Lutz, his wife Kathy, and their three children have just moved into a beautiful, and improbably cheap, Victorian mansion nestled in the sleepy coastal town of Amityville, Long Island. However, their dream home is concealing a horrific past and soon each member of the Lutz family is plagued with increasingly strange and violent visions and impulses.","halloween, haunted house, possession, long island, new york, paranormal, new home, exorcist, psychotronic, indian burial ground, newspaper article, pets, haunted, religious horror"
It Comes at Night,2017,2017-06-09,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.","fire, nightmare, nihilism, darkness, homicide, door, paranoia, post-apocalyptic future, forest, fear, dog, madness, pandemic, infected, cremation, hopelessness, malevolence"
Sleepaway Camp,1983,1983-11-18,"After a terrible boating accident, Angela Baker is sent to Camp Arawak, where a series of bizarre and violent ""accidents"" begin to claim the lives of various campers.","summer camp, shyness, gore, murder, serial killer, slasher, pedophile, mental illness, water skiing"
Wolfen,1981,1981-07-24,A New York City cop and an expert criminologist trying to solve a series of grisly deaths in which the victims have seemingly been maimed by feral animals discover a sinister connection between the crimes and an old legend.,"new york city, based on novel or book, wolf, transformation, investigation, werewolf, murder investigation"
Happy Death Day,2017,2017-10-12,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.","college, murder, time loop, young adult, college student, stabbed to death"
Sputnik,2020,2020-09-08,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…","spacecraft, alien life-form, alien, murder, doctor, cosmonaut, spacecraft accident, alien creature, symbiotic"
Planet Terror,2007,2007-04-06,"Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry Darling, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend El Wray lead a team of accidental warriors into the night.","gas, loss of loved one, military base, grindhouse, zombie"
The Last House on the Left,1972,1972-08-30,"On the eve of her 17th birthday, Mari and friend Phyllis set off from her family home to attend a rock concert in the city. Attempting to score some drugs on the way, the pair run afoul of a group of vicious crooks, headed up by the sadistic Krug.","concert, rape, birthday, loss of loved one, gun, kidnapping, revenge, marijuana, slasher, pond, rape and revenge, video nasty"
Fallen,1998,1998-01-16,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.","police, angel, psychopath, riddle, detective, supernatural, bible, murder, curse, religion, execution, series of murders, devil, family, evil, neo-noir"
The McPherson Tape,1989,1989-01-01,"On October 8th, 1983, the Van Heese family gathered together to celebrate the 5th birthday of Michelle, the littlest member of their household. Everything was captured on VHS by Michael McPherson and his new camcorder — including the alien invasion.","birthday party, mockumentary, alien, extraterrestrial, alien abduction, alien contact, found footage, alien spaceship, spaceship"
Arachnophobia,1990,1990-07-20,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.","small town, spider, animal attack, outbreak, creature, exterminator, spider bite, creature feature, spider queen, invasive species, arachnophobia, animal horror, spider general"
Frozen,2010,2010-02-05,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.","cold, wolf, mountain, animal attack, girlfriend, stranded, snow, best friend, boyfriend, ski resort, ski lift, eaten alive, hypothermia, frostbite, cable car, eaten by animal, skier, stuck, wolves, life or death, natural horror"
Annabelle: Creation,2017,2017-08-03,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.","prequel, evil doll, demon, spin off, demonic possession, ghost, aftercreditsstinger, duringcreditsstinger, the conjuring universe"
The Burning,1981,1981-05-08,"A caretaker at a summer camp is burned when a prank goes tragically wrong. After several years of intensive treatment at hospital, he is released back into society, albeit missing some social skills. What follows is a bloody killing spree with the caretaker making his way back to his old stomping ground to confront one of the youths that accidently burned him.","summer camp, woods, revenge, burned alive, murder, camp, slasher, maniac, death, campfire, psycho killer, campfire story, voyeurism, video nasty, prank gone wrong"
Burnt Offerings,1976,1976-10-18,"A couple and their 12-year-old son move into a giant house for the summer. Things start acting strange almost immediately. It seems that every time someone gets hurt on the grounds, the beat-up house seems to repair itself.","child abuse, husband wife relationship, based on novel or book, window, cemetery, coffin, possession, caretaker, summer vacation, old dark house, old house, psychosis"
Cannibal Holocaust,1980,1980-02-07,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,"adultery, rape, snake, pig, culture clash, ritual, movie business, leech, spider, animal attack, controversy, swamp, tribe, vomit, amazon rainforest, film in film, human sacrifice, jungle, torture, rape and murder, brutality, cannibal, hatchet, south america, filmmaking, missing person, fake documentary, misogyny, ritual sacrifice, found footage, documentary filmmaking, tortoise, video nasty, lost footage, animal cruelty, amazon tribe, vomiting woman, abused woman, film within a film, adulterous wife, film censorship, film industry, guerilla filmmaking, banned film, disemboweling, film reel, yacomo"
Leprechaun,1993,1993-01-08,A demonic leprechaun terrorizes a group of young people whom he believes stole his gold.,"daughter, kobold, kleeblatt, north dakota, leprechaun, murder, slasher"
Species,1995,1995-07-07,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.","genetics, telepathy, paranoia, dna, transformation, instinct, alien, femme fatale, decapitation, on the run, sexual attraction, los angeles, california, creature, scientist, sexual desire, cocoon, genetic engineering, interspecies romance, alien dna"
Grace,2009,2009-08-14,"In the wake of a horrific car accident that kills her husband, Michael, expectant mother Madeline Matheson discovers that her daughter, Grace, has died in the womb. Ignoring her doctor's warnings that the fetus must be removed from her body, a grief-stricken Matheson demands to carry the child to term -- even if it endangers her own life to do so. Curiously, little Grace emerges undead -- and with a craving for human blood.",
The Monster,2016,2016-11-11,A mother and her 10-year old daughter are trapped in a forest. There is something in this forest. Something unlike anything they have heard before. Something that lurks in the darkness and it’s coming after them.,"daughter, mother, monster, rain, forest, alcoholism, car accident, thunderstorm"
The Purge,2013,2013-05-31,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.","california, dystopia, barricade, bloody fight, home invasion, blood lust, rich vs poor, constitutional convention, legalized murder, social allegory, bloody, bloody death, bloody deaths, family's house, ethan hawke"
